Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.01628,3.7835E-10,0.01505,0,0,0,0.00568,5.6329E-07,-7.7524E-14,-5.4963E-07,4.4141E-06,-1.066E-13,4.2627E-06,0,0,0,0,0,0,package://grasshopper_v16/meshes/body.STL,1,1,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/body.STL,,grasshopper_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lrt,0.026129,8.6736E-18,0.0040288,0,0,0,0.0010251,2.7587E-08,-1.0024E-22,6.3727E-10,3.7993E-07,1.8212E-24,3.966E-07,0,0,0,0,0,0,package://grasshopper_v16/meshes/lrt.STL,0,0,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lrt.STL,,rear_leg_thigh-1,Origin_lrt,Axis_lrt,lrt,revolute,0.0015,0.012,0.005,1.5708,0,3.1416,body,0,0,1,10000,10000,0,1.5708,,,,,,,,
lrc,0.030924,0.0039218,0.0025,0,0,0,0.00011285,2.5092E-10,-2.7294E-10,1.736E-14,3.9191E-08,2.1879E-15,3.9215E-08,0,0,0,0,0,0,package://grasshopper_v16/meshes/lrc.STL,1,0,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lrc.STL,,rear_leg_calf-1,Origin_lrc,Axis_lrc,lrc,revolute,0.075,0,0.0015,0,0,-0.063261,lrt,0,0,1,10000,10000,-2.906,0,,,,,,,,
lrf,-1.7347E-18,-3.4694E-18,-0.00046191,0,0,0,0.00013943,6.7329E-10,1.6009E-26,2.0356E-25,6.7329E-10,6.0666E-28,8.023E-10,0,0,0,0,0,0,package://grasshopper_v16/meshes/lrf.STL,0,1,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lrf.STL,,foot_rear-1,Origin_lrf,Axis_lrf,lrf,fixed,0.063369,0.0040142,0.0025,1.5708,0,-1.5708,lrc,0,0,0,,,,,,,,,,,,
lmj,7.7471E-06,3.4694E-18,0.0020001,0,0,0,1.3465E-05,5.2603E-11,5.6071E-27,-3.2237E-15,5.5264E-11,1.3527E-28,7.2052E-11,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmj.STL,0,1,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmj.STL,,joint-1,Origin_lmj,Axis_lmj,lmj,revolute,0.0195,0.0125,0.003,0,0,1.5708,body,0,0,1,10000,10000,-1.3963,0.95993,,,,,,,,
lmt,0.012787,-0.0037196,-1.1737E-08,0,0,0,3.6611E-05,6.8527E-11,4.4234E-11,-1.9814E-15,2.1403E-09,5.0977E-16,2.1458E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmt.STL,0,0,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmt.STL,,middle_leg_thigh-1,Origin_lmt,Axis_lmt,lmt,revolute,0.0035,0,0.002,1.5708,-0.13685,0,lmj,0,0,1,10000,10000,0,1.5708,,,,,,,,
lmc,0.012337,0.0035222,2.1681E-10,0,0,0,3.5662E-05,6.2989E-11,-2.0946E-11,8.088E-17,1.9097E-09,6.3655E-17,1.9164E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmc.STL,1,0,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmc.STL,,middle_leg_calf-1,Origin_lmc,Axis_lmc,lmc,revolute,0.027871,-0.0038382,0,0,0,-0.27932,lmt,0,0,1,10000,10000,-2.7838,0,,,,,,,,
lmf,-3.4694E-18,-1.7347E-18,-0.00036944,0,0,0,0.00014644,7.1592E-10,2.5849E-26,9.0473E-26,7.1592E-10,3.8774E-26,8.2767E-10,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmf.STL,0,1,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lmf.STL,,foot_middle_front-1,Origin_lmf,Axis_lmf,lmf,fixed,0.024991154273188,0.00358467875173177,0,-1.5707963267949,-0.489454769549356,1.5707963267949,lmc,0,0,0,,,,,,,,,,,,
lfj,7.7471E-06,-1.3878E-17,0.0020001,0,0,0,1.3465E-05,5.2603E-11,3.9623E-27,-3.2237E-15,5.5264E-11,-7.2343E-27,7.2052E-11,0,0,0,0,0,0,package://grasshopper_v16/meshes/lfj.STL,0,1,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lfj.STL,,joint-2,Origin_lfj,Axis_lfj,lfj,revolute,0.038,0.005,0.003,0,0,1.5708,body,0,0,1,10000,10000,-1.2217,0.7854,,,,,,,,
lft,0.012295,-0.0037175,-1.1505E-08,0,0,0,3.516E-05,6.6056E-11,4.2264E-11,-1.8246E-15,1.9095E-09,4.7256E-16,1.9149E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/lft.STL,0,0,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lft.STL,,front_leg_thigh-1,Origin_lft,Axis_lft,lft,revolute,0.0035,0,0.002,1.5708,-0.14188,0,lfj,0,0,1,10000,10000,0,1.5708,,,,,,,,
lfc,0.012346,0.0035298,9.2442E-11,0,0,0,3.5516E-05,6.2427E-11,-2.0323E-11,5.592E-17,1.9089E-09,5.073E-17,1.9151E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/lfc.STL,1,0,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lfc.STL,,front_leg_calf-1,Origin_lfc,Axis_lfc,lfc,revolute,0.026871,-0.0038382,0,0,0,-0.28434,lft,0,0,1,10000,10000,-2.7838,0,,,,,,,,
lff,6.9389E-18,1.7347E-18,-0.00036944,0,0,0,0.00014644,7.1592E-10,0,7.2701E-26,7.1592E-10,6.4623E-27,8.2767E-10,0,0,0,0,0,0,package://grasshopper_v16/meshes/lff.STL,0,1,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/lff.STL,,foot_middle_front-2,Origin_lff,Axis_lff,lff,fixed,0.024991154273188,0.00358467875173176,0,-1.5707963267949,-1.31216908789752,1.5707963267949,lfc,0.336925099006697,0.628632687727636,-0.700929683762682,,,,,,,,,,,,
rrt,0.026129,2.6021E-18,-0.0040288,0,0,0,0.0010251,2.7587E-08,-5.2128E-23,-6.3727E-10,3.7993E-07,2.7401E-25,3.966E-07,0,0,0,0,0,0,package://grasshopper_v16/meshes/rrt.STL,0,0,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rrt.STL,,rear_leg_thigh-2,Origin_rrt,Axis_rrt,rrt,revolute,0.0015,-0.012,0.005,1.5708,0,3.1416,body,0,0,1,10000,10000,0,1.5708,,,,,,,,
rrc,0.030924,0.0039218,-0.0025,0,0,0,0.00011285,2.5092E-10,-2.7294E-10,1.736E-14,3.9191E-08,2.1879E-15,3.9215E-08,0,0,0,0,0,0,package://grasshopper_v16/meshes/rrc.STL,1,0,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rrc.STL,,rear_leg_calf-2,Origin_rrc,Axis_rrc,rrc,revolute,0.075,0,-0.0015,0,0,-0.063261,rrt,0,0,1,10000,10000,-2.906,0,,,,,,,,
rrf,-1.7347E-18,0,-0.00046191,0,0,0,0.00013943,6.7329E-10,-1.9541E-29,1.5833E-25,6.7329E-10,1.2684E-26,8.023E-10,0,0,0,0,0,0,package://grasshopper_v16/meshes/rrf.STL,0,1,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rrf.STL,,foot_rear-2,Origin_rrf,Axis_rrf,rrf,fixed,0.063369,0.0040142,-0.0025,1.5708,0,-1.5708,rrc,0,0,0,,,,,,,,,,,,
rmj,7.7471E-06,-3.4694E-18,0.0020001,0,0,0,1.3465E-05,5.2603E-11,1.9568E-27,-3.2237E-15,5.5264E-11,-1.5305E-28,7.2052E-11,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmj.STL,0,1,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmj.STL,,joint-3,Origin_rmj,Axis_rmj,rmj,revolute,0.0195,-0.0125,0.003,0,0,-1.5708,body,0,0,1,10000,10000,-0.95993,1.3963,,,,,,,,
rmt,0.012787,-0.0037196,-1.1737E-08,0,0,0,3.6611E-05,6.8527E-11,4.4234E-11,-1.9814E-15,2.1403E-09,5.0977E-16,2.1458E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmt.STL,0,0,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmt.STL,,middle_leg_thigh-2,Origin_rmt,Axis_rmt,rmt,revolute,0.0035,0,0.002,1.5708,-0.13685,0,rmj,0,0,1,10000,10000,0,1.5708,,,,,,,,
rmc,0.012337,0.0035222,2.1681E-10,0,0,0,3.5662E-05,6.2989E-11,-2.0946E-11,8.088E-17,1.9097E-09,6.3655E-17,1.9164E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmc.STL,1,0,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmc.STL,,middle_leg_calf-2,Origin_rmc,Axis_rmc,rmc,revolute,0.027871,-0.0038382,0,0,0,-0.27932,rmt,0,0,1,10000,10000,-2.7838,0,,,,,,,,
rmf,-3.4694E-18,8.6736E-19,-0.00036944,0,0,0,0.00014644,7.1592E-10,0,-9.0473E-26,7.1592E-10,1.0986E-25,8.2767E-10,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmf.STL,0,1,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rmf.STL,,foot_middle_front-3,Origin_rmf,Axis_rmf,rmf,fixed,0.024991154273188,0.00358467875173177,0,-1.5707963267949,1.06968702280819,1.5707963267949,rmc,0.588477199867477,-0.264058718143646,-0.764177714022378,,,,,,,,,,,,
rfj,7.7471E-06,-3.4694E-17,0.0020001,0,0,0,1.3465E-05,5.2603E-11,1.4871E-26,-3.2237E-15,5.5264E-11,-1.3331E-28,7.2052E-11,0,0,0,0,0,0,package://grasshopper_v16/meshes/rfj.STL,0,1,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rfj.STL,,joint-4,Origin_rfj,Axis_rfj,rfj,revolute,0.038,-0.005,0.003,0,0,-1.5708,body,0,0,1,10000,10000,-0.7854,1.2217,,,,,,,,
rft,0.012295,-0.0037175,-1.1505E-08,0,0,0,3.516E-05,6.6056E-11,4.2264E-11,-1.8246E-15,1.9095E-09,4.7256E-16,1.9149E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/rft.STL,0,0,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rft.STL,,front_leg_thigh-2,Origin_rft,Axis_rft,rft,revolute,0.0035,0,0.002,1.5708,-0.14188,0,rfj,0,0,1,10000,10000,0,1.5708,,,,,,,,
rfc,0.012346,0.0035298,9.2442E-11,0,0,0,3.5516E-05,6.2427E-11,-2.0323E-11,5.592E-17,1.9089E-09,5.073E-17,1.9151E-09,0,0,0,0,0,0,package://grasshopper_v16/meshes/rfc.STL,1,0,0,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rfc.STL,,front_leg_calf-2,Origin_rfc,Axis_rfc,rfc,revolute,0.026871,-0.0038382,0,0,0,-0.28434,rft,0,0,1,10000,10000,-2.7838,0,,,,,,,,
rff,0,0,-0.00036944,0,0,0,0.00014644,7.1592E-10,2.5849E-26,-1.1632E-25,7.1592E-10,-6.7855E-26,8.2767E-10,0,0,0,0,0,0,package://grasshopper_v16/meshes/rff.STL,0,1,1,1,0,0,0,0,0,0,package://grasshopper_v16/meshes/rff.STL,,foot_middle_front-4,Origin_rff,Axis_rff,rff,fixed,0.024991154273188,0.00358467875173169,0,-1.5707963267949,0.499594953248322,1.5707963267949,rfc,0.244519200301658,0.952298530924757,-0.18258660597751,,,,,,,,,,,,
